address,latitude,longitude
601 QUENTIN ROAD,40.60739339,-73.9665771
95-014 68 AVENUE,40.71793416,-73.85408
1462 EAST 14 STREET,40.61395076,-73.96027915
1468 EAST 14 STREET,40.61374269,-73.96023944
4515 12 AVENUE,40.63829988,-73.99217743
131-002 ROCKAWAY BEACH BOULEVARD,40.57548724,-73.84977639
123-040 83 AVENUE,40.71137428,-73.82686546
4318 DE REIMER AVENUE,40.89747503,-73.84432289
2040 WASHINGTON AVENUE,40.85018302,-73.89619436
74 NEWEL STREET,40.72503984,-73.9474585
601 QUENTIN ROAD,40.60737533,-73.9667487
601 QUENTIN ROAD,40.60738614,-73.96664595
73-047 181 STREET,40.72981643,-73.78824049
1612 3 AVENUE,40.78169145,-73.95203459
258 BREVOORT STREET,40.70667914,-73.82916175
56 ALLEN STREET,40.71692843,-73.99150986
3076 BROADWAY,40.81164467,-73.96122768
35-018 30 STREET,40.75799877,-73.92977465
29 WEST 174 STREET,40.84663883,-73.91475573
69-077 180 STREET,40.73119607,-73.79005657
8220 COLONIAL ROAD,40.62711939,-74.0355385
562 COURT STREET,40.67464398,-73.999852
465 EAST 10 STREET,40.7245888,-73.97439581
123-040 83 AVENUE,40.71126887,-73.82712965
20 PERKIOMEN AVENUE,40.55610282,-74.1696001
1902 AVENUE L,40.62076125,-73.95650929
157-036 87 STREET,40.66058141,-73.84608569
19-009 21 AVENUE,40.78300514,-73.91550658
205 DEKALB AVENUE,40.68960743,-73.97145248
86-001 57 ROAD,40.73197899,-73.8757301
270 EAST 2 STREET,40.72055059,-73.98076633
1817 MARINE PARKWAY,40.60984558,-73.93882185
1606 3 AVENUE,40.7815885,-73.95210828
1612 3 AVENUE,40.78173966,-73.95200007
132-022 57 AVENUE,40.74731113,-73.8323094
3044 AVENUE R,40.60971829,-73.93992619
24 FT GREENE PLACE,40.68910712,-73.97703277
41 ST FELIX STREET,40.68840987,-73.97761761
133 PITT STREET,40.72066274,-73.98114408
72 NEWEL STREET,40.72499953,-73.9474356
222 EAST 24 STREET,40.73897648,-73.98157475
480 GREELEY AVENUE,40.57223291,-74.09838958
1357 BAY RIDGE AVENUE,40.62284068,-74.0023791
177 JUSTIN AVENUE,40.55441578,-74.13275774
157-066 12 AVENUE,40.79111549,-73.80207156
34-041 84 STREET,40.75268682,-73.88289085
92 4 PLACE,40.677942,-73.99852212
22-081 37 STREET,40.77222361,-73.90938804
1019 READS LANE,40.60455906,-73.74378346
18-021 119 STREET,40.78258804,-73.84856359
8220 COLONIAL ROAD,40.62707647,-74.03555628
311 WASHINGTON AVENUE,40.68941434,-73.96598201
183 ST NICHOLAS AVENUE,40.70405811,-73.91566998
145 EAST SERVICE ROAD,40.58802395,-74.19232597
126 AVISTON STREET,40.556231,-74.11807886
12-003 157 STREET,40.79129076,-73.80429617
2902 MIDDLETOWN ROAD,40.84347371,-73.83263684
2520 BELMONT AVENUE,40.8577173,-73.88369455
157-012 12 AVENUE,40.79128114,-73.80417404
123-017 85 AVENUE,40.70390354,-73.8279042
23-002 31 STREET,40.77452549,-73.9132299
178 WEED AVENUE,40.56345461,-74.10747866
227 NATICK STREET,40.57076688,-74.13674523
125 THOLLEN STREET,40.55457049,-74.13255548
117 THOLLEN STREET,40.55480062,-74.13225463
21-020 22 ROAD,40.77944734,-73.91688846
30-049 CRESCENT STREET,40.76723975,-73.92564144
1726 STOCKHOLM STREET,40.70689307,-73.91531809
193-012 37 AVENUE,40.76261693,-73.78863923
1011 READS LANE,40.60439107,-73.74363174
55-022 96 STREET,40.73780085,-73.86536317
35-039 30 STREET,40.75748517,-73.93019227
145-016 226 STREET,40.66230619,-73.75346213
32-40 168 STREET,40.76778958,-73.79737432
227 NATICK STREET,40.57073733,-74.13697743
30-036 CRESCENT STREET,40.76750013,-73.92569992
21-014 22 ROAD,40.77954459,-73.91702588
35-037 LEVERICH STREET,40.74987799,-73.89486416
126 AVISTON STREET,40.55620584,-74.11803613
157-004 91 STREET,40.66214486,-73.84275445
43-001 34 AVENUE,40.7557059,-73.91841392
121 NASSAU AVENUE,40.72444383,-73.94908976
312 EAST 105 STREET,40.78955899,-73.94214997
309 TORRY AVENUE,40.81412086,-73.84906883
99-015 70 AVENUE,40.71692294,-73.84957966
33-065 167 STREET,40.7656984,-73.79847424
97-004 72 ROAD,40.71005995,-73.84708321
30-096 CRESCENT STREET,40.76612313,-73.92633609
157-036 87 STREET,40.660637,-73.84609922
223 FOREST GREEN,40.55592106,-74.19487629
315 TORRY AVENUE,40.81431755,-73.84911512
23-007 26 STREET,40.77628719,-73.91610404
4520 12 AVENUE,40.63812878,-73.99235521
93 UTICA AVENUE,40.67562127,-73.93039306
80-011 167 STREET,40.7222465,-73.80081826
97-004 72 ROAD,40.71014324,-73.84703116
58 ROMAN AVENUE,40.61507975,-74.16273439
430 MORGAN AVENUE,40.71906402,-73.9372561
168-014 81 AVENUE,40.72171244,-73.79889973
721 QUENTIN ROAD,40.60753972,-73.96522484
